,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
0,Ravanaroy,2022-09-22 16:43:24+00:00,0.0,,0.0,0.0,1.5729899550850621e+18,https://twitter.com/Ravanaroy/status/1572989955085062146,,,,janasena,175.0,"@nazir28 వీర మహిళా ఏంది sir.. జనాంగం.. వీర్యం.. sorry.. janasena, వీర మహిళ.. ట్రోలింగ్ కోసమే వెతికి వెతికి మరీ పెట్టినట్టునడు పేర్లు.. 🤣😜"
1,RafiSha58581630,2022-09-22 16:43:01+00:00,0.0,,0.0,0.0,1.5729898572067635e+18,https://twitter.com/RafiSha58581630/status/1572989857206763520,,,,janasena,19.0,@NThathamsetty @apcmo @JanaSenaParty @JSPShatagniTeam @PawanKalyan @mnadendla @NagaBabuOffl Pub ki vellthe Ugadhi pachadi vasthundhi
2,mssurla,2022-09-22 16:42:36+00:00,0.0,,0.0,0.0,1.5729897545258148e+18,https://twitter.com/mssurla/status/1572989754525814787,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdRh2AIXgAEfJ72?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdRh2AIXgAEfJ72?format=jpg&name=large')]",janasena,245.0,@JSPVeeraMahila @ysjagan @JanaSenaParty @PawanKalyan https://t.co/TsIe6BR8OO
3,Karteekmenda223,2022-09-22 16:41:25+00:00,0.0,,0.0,0.0,1.5729894540586885e+18,https://twitter.com/Karteekmenda223/status/1572989454058688512,,,,janasena,261.0,@JSPVeeraMahila @ysjagan @JanaSenaParty @PawanKalyan Meeru mammalni ilaane entertain cheyaali andi. Don't miss that. We want this type of regular releases from you.
4,mssurla,2022-09-22 16:40:27+00:00,0.0,,0.0,0.0,1.5729892124916613e+18,https://twitter.com/mssurla/status/1572989212491661318,,,,janasena,245.0,"@JSPVeeraMahila @ysjagan @JanaSenaParty @PawanKalyan 99TV రిపోర్టర్:- ఎన్టిఆర్ పేరు మార్చడం అప్రజాస్వామికం అంటున్నారు సువచ్ఛల

యాంకర్:- బొక్కలే ముందు పవన్ కళ్యాణ్, పవన్ కళ్యాణ్ గారు దీని మీద ఏం చెప్పారు అది చెప్పు ముందు"
5,bandela_pedda,2022-09-22 16:40:09+00:00,0.0,,0.0,0.0,1.5729891348719534e+18,https://twitter.com/bandela_pedda/status/1572989134871953416,,['kachukobidda'],"[Photo(previewUrl='https://pbs.twimg.com/media/FdRhSB1XoAQbyPX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdRhSB1XoAQbyPX?format=jpg&name=large')]",janasena,6.0,కడపలో నన్ను ఎవడురా ఆపేది అనేలా చేసిన పవన్ కళ్యాణ్ గారికీ నా లైఫ్ లాంగ్ రుణపడి ఉంటాను @PawanKalyan @mnadendla @NagaBabuOffl @JanaSenaParty @RayapatiAruna @TV9Telugu @maneesha_pspk @SupremePSPK @JANASENA_UK ఈసారీ కొడితే కంచుకోట కొద్దిగా జనసెన కోట గా మారాలి @TrendPSPK #kachukobidda https://t.co/7h0UwJhr0A
6,muneer1509,2022-09-22 16:39:59+00:00,0.0,,0.0,0.0,1.5729890944684073e+18,https://twitter.com/muneer1509/status/1572989094468407297,,,,janasena,13.0,@SanaSunanda @PawanKalyan @JanaSenaParty @NagaBabuOffl Jalsa appudena release
7,MissilePSPK,2022-09-22 16:39:40+00:00,13.0,,4.0,0.0,1.5729890129772585e+18,https://twitter.com/MissilePSPK/status/1572989012977258498,,['PawanKalyan'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1405518072274817028/pu/img/V10dp3wk8u-kX7Ld.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1405518072274817028/pu/vid/640x384/nRIpKwYa0xMbMQxm.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1405518072274817028/pu/pl/QNutyenL_o6SphKK.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1405518072274817028/pu/vid/450x270/EESTGF14D2CGyiyX.mp4?tag=12', bitrate=256000)], duration=89.05, views=3073)]",janasena,7079.0,"One men's courage makes the majority. - JANASENANI @PawanKalyan garu ❤️

#PawanKalyan • @JanaSenaParty

 https://t.co/R9f6KhrCiF"
8,purubujji,2022-09-22 16:38:36+00:00,0.0,,0.0,1.0,1.572988746685096e+18,https://twitter.com/purubujji/status/1572988746685095936,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdRg5z7acAAyqd3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdRg5z7acAAyqd3?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FdRg6r2agAARA_t?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdRg6r2agAARA_t?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FdRg635agAE8Ec5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdRg635agAE8Ec5?format=jpg&name=large')]",janasena,4.0,"పత్తికొండ నియోజకవర్గ  జనసేన పార్టీ నాయకులు CG రాజశేఖర్ గారి ఆధ్వర్యంలో వెల్దుర్తి మండలం ఎంపీడీవో శ్రీనివాసరావును కలిసి జనసేన ప్రజా పోరాట ద్వారా గ్రామాలలో నెలకొన్న ప్రధాన సమస్యలపై ఎంపీడీవో గారికి క్లుప్తంగా తెలియజేశారు. 
@PawanKalyan @JanaSenaParty @cg_rajashekar @NagaBabuOffl https://t.co/OR4NE0doJ1"
9,nprmsbi,2022-09-22 16:37:50+00:00,0.0,,0.0,0.0,1.572988554242052e+18,https://twitter.com/nprmsbi/status/1572988554242052097,,,,janasena,1.0,@keathamreddy @PawanKalyan @JanaSenaParty Evvarinooo copy kotti vinnavalani chudakandraa pavala Bach or paid batch nayalara !!! Waste hard work royaiii vinodini… mee pavala gadi daggara Cheka bajana chesukovatamu
10,sidartistt,2022-09-22 16:37:24+00:00,0.0,,0.0,0.0,1.5729884441961062e+18,https://twitter.com/sidartistt/status/1572988444196106240,,,,janasena,16.0,@myu6093 @Narendra4JSP @PawanKalyan @NagaBabuOffl @JanaSenaParty Aalaki ah logics undav
